Ref,Val,Package,PosX,PosY,Rot,Side
"2nd_Stage_CLK_OUT","SMA_Cable_Drawing","SMA_Cable_Drawing",0.000000,280.000000,90.000000,top
"C1","0.1uF","C_0402_1005Metric",252.930000,98.500000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",252.930000,99.500000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",252.930000,96.000000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",252.930000,97.000000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",244.680000,96.000000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",244.680000,97.000000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",193.950000,151.190000,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",194.950000,151.190000,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",192.950000,151.200000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",196.950000,151.190000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",197.950000,151.190000,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",195.950000,151.200000,-90.000000,top
"C13","1uF","C_0402_1005Metric",206.950000,143.200000,180.000000,top
"C14","1uF","C_0402_1005Metric",204.200000,133.200000,90.000000,top
"C15","1uF","C_0402_1005Metric",198.200000,146.700000,-90.000000,top
"C16","1uF","C_0402_1005Metric",192.950000,136.700000,0.000000,top
"C17","0.1uF","C_0402_1005Metric",206.950000,135.950000,180.000000,top
"C18","0.1uF","C_0402_1005Metric",206.950000,137.700000,180.000000,top
"C19","0.1uF","C_0402_1005Metric",206.950000,141.450000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",206.950000,139.700000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",198.700000,133.220000,90.000000,top
"C22","0.1uF","C_0402_1005Metric",200.700000,133.200000,90.000000,top
"C23","0.1uF","C_0402_1005Metric",202.450000,133.200000,90.000000,top
"C24","0.1uF","C_0402_1005Metric",202.200000,146.700000,-90.000000,top
"C25","0.1uF","C_0402_1005Metric",203.950000,146.700000,-90.000000,top
"C26","0.1uF","C_0402_1005Metric",193.750000,121.177500,-90.000000,top
"C27","0.1uF","C_0402_1005Metric",196.750000,121.177500,-90.000000,top
"C28","0.1uF","C_0402_1005Metric",194.750000,121.177500,-90.000000,top
"C29","0.1uF","C_0402_1005Metric",192.750000,121.187500,-90.000000,top
"C30","0.1uF","C_0402_1005Metric",197.750000,121.177500,-90.000000,top
"C31","0.1uF","C_0402_1005Metric",195.750000,121.187500,-90.000000,top
"C32","1uF","C_0402_1005Metric",206.750000,113.187500,180.000000,top
"C33","1uF","C_0402_1005Metric",204.000000,103.187500,90.000000,top
"C34","1uF","C_0402_1005Metric",198.250000,116.687500,-90.000000,top
"C35","1uF","C_0402_1005Metric",192.750000,106.687500,0.000000,top
"C36","0.1uF","C_0402_1005Metric",202.250000,103.187500,90.000000,top
"C37","0.1uF","C_0402_1005Metric",206.750000,107.687500,180.000000,top
"C38","0.1uF","C_0402_1005Metric",206.750000,109.687500,180.000000,top
"C39","0.1uF","C_0402_1005Metric",206.750000,111.437500,180.000000,top
"C40","0.1uF","C_0402_1005Metric",203.750000,116.687500,-90.000000,top
"C41","0.1uF","C_0402_1005Metric",202.000000,116.687500,-90.000000,top
"C42","0.1uF","C_0402_1005Metric",206.750000,105.937500,180.000000,top
"C43","0.1uF","C_0402_1005Metric",200.500000,103.187500,90.000000,top
"C44","0.1uF","C_0402_1005Metric",198.500000,103.207500,90.000000,top
"C45","0.1uF","C_0402_1005Metric",41.000000,216.000000,-90.000000,top
"C46","0.1uF","C_0402_1005Metric",41.000000,213.000000,90.000000,top
"C47","0.1uF","C_0402_1005Metric",41.000000,201.500000,-90.000000,top
"C48","0.1uF","C_0402_1005Metric",41.000000,198.480000,90.000000,top
"C49","22uF","C_0805_2012Metric",183.500000,118.712500,180.000000,top
"C50","1nF","C_0402_1005Metric",180.750000,122.750000,-90.000000,top
"C51","22uF","C_0805_2012Metric",183.500000,126.212500,180.000000,top
"C52","0.1uF","C_0402_1005Metric",25.771998,65.683995,0.000000,top
"C53","0.1uF","C_0402_1005Metric",25.771998,64.667995,0.000000,top
"C54","0.1uF","C_0402_1005Metric",25.771998,56.031995,0.000000,top
"C55","0.1uF","C_0402_1005Metric",25.771998,55.015995,0.000000,top
"C56","10uF","C_0603_1608Metric",43.000000,202.500000,0.000000,top
"C57","2.2uF","C_1206_3216Metric",222.500000,14.500000,-90.000000,top
"C58","2.2uF","C_1206_3216Metric",225.000000,19.500000,-90.000000,top
"C59","2.2uF","C_1206_3216Metric",225.000000,14.500000,-90.000000,top
"C60","2.2uF","C_1206_3216Metric",222.500000,19.500000,-90.000000,top
"C61","20nF","C_0805_2012Metric",159.100000,2.000000,180.000000,top
"C62","20nF","C_0805_2012Metric",224.050000,2.000000,0.000000,top
"C63","1uF","C_0402_1005Metric",0.000000,274.000000,180.000000,top
"C64","10uF","C_0603_1608Metric",43.000000,217.000000,0.000000,top
"C65","10uF","C_0603_1608Metric",43.000000,212.000000,0.000000,top
"C66","0.1uF","C_0402_1005Metric",25.771998,79.907995,0.000000,top
